_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
69a51496ab0fca9c9df4b06e,true,58.01,99.32,58.01,73.62,145;0;0;0,time,30,-1,1,30,0,3.29,false,false,english_10k,,normal,false,false,false,,1772426390000
69a51467ab0fca9c9df4aee7,true,48.81,98.39,48.81,77.71,122;0;0;0,time,30,-1,0,29.99,0,0,false,false,english_10k,,normal,false,false,false,,1772426343000
69a16480d5fe59bad8765b05,,41.8,100,41.8,82.23,209;0;0;0,time,60,-1,0,60,0,0,false,false,english_10k,,normal,false,false,false,,1772184704000
69a12110d5fe59bad8741725,,67.2,97.67,67.2,75.78,84;0;0;0,time,15,-1,0,15,0,0,false,false,english_10k,,normal,false,false,false,,1772167440000
69a120edd5fe59bad874160f,,69.6,97.75,69.6,75.8,87;0;0;0,time,15,-1,0,15,0,0,false,false,english_10k,,normal,false,false,false,,1772167405000
69a120dcd5fe59bad8741578,,69.64,95.6,69.64,70.23,87;0;0;0,time,15,-1,0,14.99,0,0,false,false,english_10k,,normal,false,false,false,,1772167388000
69a120a3d5fe59bad87413c1,,61.65,96.25,61.65,75.63,77;0;0;0,time,15,-1,0,14.99,0,0,false,false,english_10k,,normal,false,false,false,,1772167331000
69a1207fd5fe59bad87412a6,,58.41,92.59,58.41,71.47,73;0;0;0,time,15,-1,0,15,0,0,false,false,english_10k,,normal,false,false,false,,1772167295000
69a1205cd5fe59bad8741195,,67.2,96.55,67.2,79.89,84;0;0;0,time,15,-1,0,15,0,0,false,false,english_10k,,normal,false,false,false,,1772167260000
69a11fdad5fe59bad8740d82,true,76,97.94,76,82.26,95;0;0;0,time,15,-1,0,15,0,0,false,false,english_10k,,normal,false,false,false,,1772167130000
69a11ea6d5fe59bad8740394,,64.41,96.19,65.41,73.03,322;0;0;1,time,60,-1,0,59.99,0,0,false,false,english_10k,,normal,false,false,false,,1772166822000
69a11e65d5fe59bad8740175,,69,98.86,69,76.97,345;0;0;0,time,60,-1,0,60,0,0,false,false,english_10k,,normal,false,false,false,,1772166757000
69a11df8d5fe59bad873fdd7,,62.8,96.99,64.4,72.3,314;1;0;0,time,60,-1,0,60,0,0,false,false,english_10k,,normal,false,false,false,,1772166648000
69a11dadd5fe59bad873fb9e,true,69.21,98.86,69.21,72.65,346;0;0;0,time,60,-1,0,59.99,0,0,false,false,english_10k,,normal,false,false,false,,1772166573000
69a11d41d5fe59bad873f855,true,68.68,97.72,68.68,78.87,343;0;0;0,time,60,-1,0,59.93,0,0,false,false,english_10k,,normal,false,false,false,,1772166465000
69a11cffd5fe59bad873f626,,62.07,98.41,62.07,73.37,310;0;0;0,time,60,-1,0,59.93,0,0,false,false,english_10k,,normal,false,false,false,,1772166399000
69a11cbfd5fe59bad873f423,,63.28,99.37,63.28,81.67,316;0;0;0,time,60,-1,0,59.93,0,0,false,false,english_10k,,normal,false,false,false,,1772166335000
69a11c7ed5fe59bad873f1e2,,60.26,98.37,60.26,75.02,301;0;0;0,time,60,-1,0,59.94,0,0,false,false,english_10k,,normal,false,false,false,,1772166270000
699ff9c4d5fe59bad867ea2d,true,67.2,98.82,67.2,77.52,336;0;0;0,time,60,-1,0,60,0,0,false,false,english_10k,,normal,false,false,false,,1772091844000
699fd2bfd5fe59bad86690c1,,56.8,98.61,56.8,70.1,284;0;0;0,time,60,-1,0,60,0,0,false,false,english_10k,,normal,false,false,false,,1772081855000
699fd27dd5fe59bad8668e66,,60.8,99.03,60.8,74.24,304;0;0;0,time,60,-1,0,60,0,0,false,false,english_10k,,normal,false,false,false,,1772081789000
699fd225d5fe59bad8668b23,,59.41,99.66,59.41,79.88,297;0;0;0,time,60,-1,0,59.99,0,0,false,false,english_10k,,normal,false,false,false,,1772081701000
699fd1e4d5fe59bad866890d,,62.2,99.04,62.2,76.25,311;0;0;0,time,60,-1,0,60,0,0,false,false,english_10k,,normal,false,false,false,,1772081636000
699e807ad5fe59bad858f6c5,,58.6,98.66,58.6,66.73,293;0;0;0,time,60,-1,0,60,0,0,false,false,english_10k,,normal,false,false,false,,1771995258000
699e7e89d5fe59bad858e5e0,true,63.6,95.78,63.6,75.21,318;0;0;0,time,60,-1,1,60,0,5.25,false,false,english_10k,,normal,false,false,false,,1771994761000
699e79e5d5fe59bad858bca4,,91.77,98.37,91.77,77.46,121;0;0;0,words,25,-1,1,15.82,0,215,false,false,english,,normal,false,true,false,,1771993573000
699d9c1fd5fe59bad84f23a6,,65.94,91.91,75.03,58.18,116;4;1;0,words,25,-1,0,21.11,1,0,false,false,english,,normal,false,true,false,,1771936799000
699d9c07d5fe59bad84f22a1,,79.97,92.8,89.34,81.46,111;6;0;1,words,25,-1,0,16.66,0,0,false,false,english,,normal,false,true,false,,1771936775000
699d9bf4d5fe59bad84f21d6,,93.71,97.9,93.71,79.84,140;0;0;0,words,25,-1,0,17.93,0,0,false,false,english,,normal,false,true,false,,1771936756000
